Speaker	Task	City	Region	Gender	Ethnicity	Generation	Word	Vowel	Preceding Phone	Aspirated	Following Phone	Following Class	Begin Time (s)	End Time (s)	Duration (ms)	F0 20%	F0 50%	F0 80%	F1 20%	F1 50%	F1 80%	F2 20%	F2 50%	F2 80%	F3 20%	F3 50%	F3 80%	Normalized F1 20%	Normalized F1 50%	Normalized F1 80%	Normalized F2 20%	Normalized F2 50%	Normalized F2 80%	Notes	Outlier	Checked By	Date	Settings	Analyst	Date	Settings	Praat Version	OS
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	dead	ɛ	d	n	d	C	7230.55	7230.73	173.61	--undefined--	134	133	395	474	507	1859	1776	1720	2484	2508	2493	-0.916947005	-0.734625448	-0.667321766	0.631961218	0.586286154	0.5542468		n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	drag	æ	ɹ	n	g	G	6638.39	6638.60	213.96	109	108	106	568	540	445	1616	1720	1888	2396	2429	2418	-0.553711351	-0.60426363	-0.797758488	0.491876469	0.5542468	0.647440577		n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	drag	æ	ɹ	n	g	G	6978.62	6978.81	184.03	--undefined--	--undefined--	--undefined--	520	514	436	1603	1691	1907	2323	2367	2270	-0.642003958	-0.653609504	-0.818190527	0.483799383	0.537242579	0.657453836		n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	drag	æ	ɹ	n	g	G	7212.81	7213.04	231.06	105	--undefined--	--undefined--	543	522	384	1610	1735	1953	2386	2436	2370	-0.59872345	-0.638165182	-0.945190217	0.488156688	0.562929923	0.681289161		n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	dragging	æ	ɹ	n	g	G	6663.16	6663.32	159.88	108	106	107	537	535	473	1616	1737	1842	2350	2411	2326	-0.609834675	-0.613566023	-0.736737381	0.491876469	0.564081996	0.622774447		n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	dragging	æ	ɹ	n	g	G	6862.29	6862.45	159.33	112	107	114	576	589	448	1588	1734	1905	2416	2460	2470	-0.539725109	-0.517406586	-0.791039537	0.474397872	0.562353387	0.656404518		n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	dragging	æ	ɹ	n	g	G	7103.98	7104.14	159.14	--undefined--	--undefined--	--undefined--	538	539	436	1645	1715	1829	2360	2378	2444	-0.60797421	-0.606117199	-0.818190527	0.509662893	0.55133559	0.615691879		n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	dragon	æ	ɹ	n	g	G	6504.36	6504.56	193.71	--undefined--	--undefined--	--undefined--	425	552	447	1611	1622	1881	2250	2341	2252	-0.843743601	-0.582284724	-0.793274175	0.488777613	0.495582465	0.643726059		n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	dragon	æ	ɹ	n	g	G	7010.68	7010.84	162.30	--undefined--	--undefined--	--undefined--	571	546	465	1698	1701	1920	2436	2399	2478	-0.54844356	-0.593213794	-0.753795364	0.541373597	0.543138823	0.664247695		n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	dragon	æ	ɹ	n	g	G	7241.58	7241.76	174.09	111	106	--undefined--	566	578	485	1542	1712	1941	2472	2485	2609	-0.557238692	-0.536258901	-0.711683879	0.445002784	0.549584787	0.675125813		n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	egg	ɛ	t	n	g	G	6417.22	6417.39	171.64	136	134	--undefined--	396	366	355	1883	1918	1990	2486	2531	2335	-0.914418559	-0.993199436	-1.02371498	0.644788759	0.663205486	0.700057148		n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	egg	ɛ	t	n	g	G	6826.42	6826.61	189.22	111	112	115	417	437	370	1836	1883	2025	2483	2502	2478	-0.862746548	-0.815899575	-0.982329764	0.619511801	0.644788759	0.71749221		n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	egg	ɛ	t	n	g	G	7118.74	7118.91	166.01	--undefined--	137	--undefined--	443	429	396	1897	1959	2016	2602	2603	2638	-0.802263	-0.834375851	-0.914418559	0.6521962	0.684356648	0.713037859		n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	had	æ	h	n	d	C	6369.43	6369.62	190.49	133	--undefined--	--undefined--	517	602	609	1871	1769	1578	2520	2490	2499	-0.647789895	-0.495575325	-0.484014502	0.638395556	0.582336924	0.468080732		n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	had	æ	h	n	d	C	6749.43	6749.62	192.56	109	110	112	519	629	624	1896	1798	1590	2517	2510	2524	-0.643928887	-0.451701513	-0.459682401	0.651668913	0.598597445	0.475656525		n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	had	æ	h	n	d	C	7342.89	7343.06	172.87	123	--undefined--	132	482	569	571	1743	1607	1596	2399	2413	2476	-0.717888656	-0.551952336	-0.54844356	0.567530276	0.486291596	0.479423008		n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	head	ɛ	h	n	d	C	6539.51	6539.64	130.58	129	--undefined--	--undefined--	425	483	465	1807	1668	1640	2544	2539	2553	-0.843743601	-0.715816116	-0.753795364	0.603590521	0.523547813	0.506618751		n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	head	ɛ	h	n	d	C	7033.77	7033.88	112.27	122	123	124	424	440	422	1786	1701	1635	2472	2492	2486	-0.846099315	-0.809058043	-0.850827456	0.591900992	0.543138823	0.503565313		n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	head	ɛ	h	n	d	C	7302.80	7302.91	116.48	121	--undefined--	--undefined--	423	459	474	1841	1790	1699	2475	2510	2519	-0.848460591	-0.76678256	-0.734625448	0.622231411	0.594138129	0.541962352		n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	heed	i	h	n	d	C	6668.63	6668.81	179.78	122	115	115	289	284	299	2249	2249	2235	2685	2696	2626	-1.229406082	-1.246858532	-1.195389196	0.822408182	0.822408182	0.816163737		n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
